slice,id,source,language,endpoint_bool,midfiller,endfiller,synthetic,local_audio_path,reviewer_notes,label_seems_correct,ending_description
explicit_incomplete,0217bc1a-4ea7-4410-a3ae-075225aea605,chirp3_1,deu,False,True,True,True,data_cache\signal_sample\0217bc1a-4ea7-4410-a3ae-075225aea605.wav,,,
explicit_incomplete,021158cd-728c-4e76-a373-f7796433cf1f,chirp3_1,nld,False,False,True,True,data_cache\signal_sample\021158cd-728c-4e76-a373-f7796433cf1f.wav,,,
explicit_incomplete,01e9242d-7b23-4d92-9995-3f8a8b83ca5e,chirp3_1,spa,False,False,True,True,data_cache\signal_sample\01e9242d-7b23-4d92-9995-3f8a8b83ca5e.wav,,,
explicit_incomplete,0246f746-0a88-4889-b767-94a3990f5ecc,chirp3_1,rus,False,True,True,True,data_cache\signal_sample\0246f746-0a88-4889-b767-94a3990f5ecc.wav,,,
explicit_incomplete,01b5bb3a-5c31-4551-ab87-950e6742e5f1,chirp3_2,vie,False,False,True,True,data_cache\signal_sample\01b5bb3a-5c31-4551-ab87-950e6742e5f1.wav,,,
explicit_incomplete,00bf0289-a547-4d5a-9b3e-216c8540f0bd,chirp3_2,vie,False,True,True,True,data_cache\signal_sample\00bf0289-a547-4d5a-9b3e-216c8540f0bd.wav,,,
explicit_incomplete,015e8e16-31e8-4b6e-877e-27057e4c9703,chirp3_1,rus,False,False,True,True,data_cache\signal_sample\015e8e16-31e8-4b6e-877e-27057e4c9703.wav,,,
explicit_incomplete,01dc0dc7-6c3c-4d20-895b-53ad25753e42,chirp3_2,mar,False,False,True,True,data_cache\signal_sample\01dc0dc7-6c3c-4d20-895b-53ad25753e42.wav,,,
explicit_incomplete,00d6c189-08e4-421f-9839-d0619d0864af,chirp3_2,vie,False,False,True,True,data_cache\signal_sample\00d6c189-08e4-421f-9839-d0619d0864af.wav,,,
explicit_incomplete,020ca605-63fa-4be2-ab25-a09de1386d96,chirp3_1,rus,False,True,True,True,data_cache\signal_sample\020ca605-63fa-4be2-ab25-a09de1386d96.wav,,,
explicit_incomplete,01501342-6122-4b68-b0d2-f082237aca82,chirp3_1,ita,False,True,True,True,data_cache\signal_sample\01501342-6122-4b68-b0d2-f082237aca82.wav,,,
explicit_incomplete,02403195-b13c-4ef6-90ec-b5264d938b98,chirp3_2,fin,False,False,True,True,data_cache\signal_sample\02403195-b13c-4ef6-90ec-b5264d938b98.wav,,,
explicit_incomplete,0294df5b-d837-4073-8650-5fd1d4d3dcac,chirp3_1,hin,False,True,True,True,data_cache\signal_sample\0294df5b-d837-4073-8650-5fd1d4d3dcac.wav,,,
explicit_incomplete,02b1a4d5-ba3e-4e4f-bb33-a57e8507b9e8,chirp3_1,fra,False,False,True,True,data_cache\signal_sample\02b1a4d5-ba3e-4e4f-bb33-a57e8507b9e8.wav,,,
explicit_incomplete,02aa1bfc-72d5-451a-a2c3-cee9d0121cb2,chirp3_1,fra,False,False,True,True,data_cache\signal_sample\02aa1bfc-72d5-451a-a2c3-cee9d0121cb2.wav,,,
implicit_incomplete,000dae9f-157b-47af-a27d-012c99cc71cb,chirp3_1,por,False,True,False,True,data_cache\signal_sample\000dae9f-157b-47af-a27d-012c99cc71cb.wav,,,
implicit_incomplete,004d0cca-1daa-404f-b9e4-203db4d2e515,chirp3_1,zho,False,True,False,True,data_cache\signal_sample\004d0cca-1daa-404f-b9e4-203db4d2e515.wav,,,
implicit_incomplete,003be661-4aae-4b77-9f1d-b640e9be4f0b,chirp3_2,ukr,False,False,False,True,data_cache\signal_sample\003be661-4aae-4b77-9f1d-b640e9be4f0b.wav,,,
implicit_incomplete,021e013a-96ee-457a-b659-ab7f772d6763,chirp3_1,kor,False,True,False,True,data_cache\signal_sample\021e013a-96ee-457a-b659-ab7f772d6763.wav,,,
implicit_incomplete,01dd0bc9-dc45-4c17-9b5c-ab8e7b666a93,chirp3_1,fra,False,True,False,True,data_cache\signal_sample\01dd0bc9-dc45-4c17-9b5c-ab8e7b666a93.wav,,,
implicit_incomplete,029bb9aa-8091-4bbd-bdd6-55acd33c3fcf,chirp3_1,fra,False,True,False,True,data_cache\signal_sample\029bb9aa-8091-4bbd-bdd6-55acd33c3fcf.wav,,,
implicit_incomplete,00645d1b-9c3c-4405-b339-0c95098e39bf,chirp3_1,fra,False,True,False,True,data_cache\signal_sample\00645d1b-9c3c-4405-b339-0c95098e39bf.wav,,,
implicit_incomplete,01d6ab15-7d76-4ff1-9420-fa39da287785,chirp3_1,tur,False,True,False,True,data_cache\signal_sample\01d6ab15-7d76-4ff1-9420-fa39da287785.wav,,,
implicit_incomplete,01bdb226-ba27-456e-89ae-aad31041467d,chirp3_2,fin,False,True,False,True,data_cache\signal_sample\01bdb226-ba27-456e-89ae-aad31041467d.wav,,,
implicit_incomplete,00d5a942-01c2-4a02-a3ca-4b38f514bebe,chirp3_2,ara,False,False,False,True,data_cache\signal_sample\00d5a942-01c2-4a02-a3ca-4b38f514bebe.wav,,,
implicit_incomplete,01d4dee7-2731-4f55-ad72-243b4b021582,chirp3_1,tur,False,True,False,True,data_cache\signal_sample\01d4dee7-2731-4f55-ad72-243b4b021582.wav,,,
implicit_incomplete,011d7f74-0d25-4362-a2cf-dd5f89013139,chirp3_1,rus,False,True,False,True,data_cache\signal_sample\011d7f74-0d25-4362-a2cf-dd5f89013139.wav,,,
