language,dataset,synthetic,n
eng,liva_1,False,30922
eng,chirp3_1,True,13115
rus,chirp3_1,True,12966
por,chirp3_1,True,12792
nld,chirp3_1,True,12518
deu,chirp3_1,True,12058
spa,chirp3_1,True,12047
hin,chirp3_1,True,12006
fra,chirp3_1,True,11511
pol,chirp3_1,True,8497
eng,midcentury_1,False,8489
tur,chirp3_1,True,8213
kor,chirp3_1,True,8164
zho,chirp3_1,True,8159
ind,chirp3_2,True,8089
ben,chirp3_2,True,8006
vie,chirp3_2,True,7991
nor,chirp3_2,True,7972
fin,chirp3_2,True,7939
ara,chirp3_2,True,7396
jpn,chirp3_1,True,7389
ukr,chirp3_2,True,7280
ita,chirp3_1,True,7192
dan,chirp3_2,True,6558
mar,chirp3_2,True,6415
spa,mundo_1,False,3986
eng,human_5,False,3527
eng,rime_2,True,3505
eng,orpheus_endfiller_1,True,1661
eng,orpheus_grammar_1,True,1570
eng,orpheus_midfiller_1,True,1542
eng,chirp3_3_short,True,792
eng,human_convcollector_1,False,679
