language,n_total,n_False,n_True,pct_False,pct_True
ara,7396,3698,3698,50.0,50.0
ben,8006,3997,4009,49.93,50.07
dan,6558,3308,3250,50.44,49.56
deu,12058,6081,5977,50.43,49.57
eng,65802,33359,32443,50.7,49.3
fin,7939,3964,3975,49.93,50.07
fra,11511,5820,5691,50.56,49.44
hin,12006,6090,5916,50.72,49.28
ind,8089,4042,4047,49.97,50.03
ita,7192,3668,3524,51.0,49.0
jpn,7389,3695,3694,50.01,49.99
kor,8164,4088,4076,50.07,49.93
mar,6415,3254,3161,50.72,49.28
nld,12518,6275,6243,50.13,49.87
nor,7972,4016,3956,50.38,49.62
pol,8497,4328,4169,50.94,49.06
por,12792,6493,6299,50.76,49.24
rus,12966,6580,6386,50.75,49.25
spa,16033,8076,7957,50.37,49.63
tur,8213,4110,4103,50.04,49.96
ukr,7280,3594,3686,49.37,50.63
vie,7991,4003,3988,50.09,49.91
zho,8159,4102,4057,50.28,49.72
