language,chirp3_1,chirp3_2,chirp3_3_short,human_5,human_convcollector_1,liva_1,midcentury_1,mundo_1,orpheus_endfiller_1,orpheus_grammar_1,orpheus_midfiller_1,rime_2
ara,0,7396,0,0,0,0,0,0,0,0,0,0
ben,0,8006,0,0,0,0,0,0,0,0,0,0
dan,0,6558,0,0,0,0,0,0,0,0,0,0
deu,12058,0,0,0,0,0,0,0,0,0,0,0
eng,13115,0,792,3527,679,30922,8489,0,1661,1570,1542,3505
fin,0,7939,0,0,0,0,0,0,0,0,0,0
fra,11511,0,0,0,0,0,0,0,0,0,0,0
hin,12006,0,0,0,0,0,0,0,0,0,0,0
ind,0,8089,0,0,0,0,0,0,0,0,0,0
ita,7192,0,0,0,0,0,0,0,0,0,0,0
jpn,7389,0,0,0,0,0,0,0,0,0,0,0
kor,8164,0,0,0,0,0,0,0,0,0,0,0
mar,0,6415,0,0,0,0,0,0,0,0,0,0
nld,12518,0,0,0,0,0,0,0,0,0,0,0
nor,0,7972,0,0,0,0,0,0,0,0,0,0
pol,8497,0,0,0,0,0,0,0,0,0,0,0
por,12792,0,0,0,0,0,0,0,0,0,0,0
rus,12966,0,0,0,0,0,0,0,0,0,0,0
spa,12047,0,0,0,0,0,0,3986,0,0,0,0
tur,8213,0,0,0,0,0,0,0,0,0,0,0
ukr,0,7280,0,0,0,0,0,0,0,0,0,0
vie,0,7991,0,0,0,0,0,0,0,0,0,0
zho,8159,0,0,0,0,0,0,0,0,0,0,0
