language,n_total,n_False,n_True,pct_False,pct_True
ara,7396,0,7396,0.0,100.0
ben,8006,0,8006,0.0,100.0
dan,6558,0,6558,0.0,100.0
deu,12058,0,12058,0.0,100.0
eng,65802,43617,22185,66.29,33.71
fin,7939,0,7939,0.0,100.0
fra,11511,0,11511,0.0,100.0
hin,12006,0,12006,0.0,100.0
ind,8089,0,8089,0.0,100.0
ita,7192,0,7192,0.0,100.0
jpn,7389,0,7389,0.0,100.0
kor,8164,0,8164,0.0,100.0
mar,6415,0,6415,0.0,100.0
nld,12518,0,12518,0.0,100.0
nor,7972,0,7972,0.0,100.0
pol,8497,0,8497,0.0,100.0
por,12792,0,12792,0.0,100.0
rus,12966,0,12966,0.0,100.0
spa,16033,3986,12047,24.86,75.14
tur,8213,0,8213,0.0,100.0
ukr,7280,0,7280,0.0,100.0
vie,7991,0,7991,0.0,100.0
zho,8159,0,8159,0.0,100.0
