dataset,n_total,n_False,n_True,pct_False,pct_True
chirp3_1,146627,74057,72570,50.51,49.49
chirp3_2,67646,33876,33770,50.08,49.92
chirp3_3_short,792,453,339,57.2,42.8
human_5,3527,1707,1820,48.4,51.6
human_convcollector_1,679,356,323,52.43,47.57
liva_1,30922,15512,15410,50.16,49.84
midcentury_1,8489,4390,4099,51.71,48.29
mundo_1,3986,1997,1989,50.1,49.9
orpheus_endfiller_1,1661,857,804,51.6,48.4
orpheus_grammar_1,1570,759,811,48.34,51.66
orpheus_midfiller_1,1542,775,767,50.26,49.74
rime_2,3505,1902,1603,54.27,45.73
