column,value,full_metadata_pct,stratified_proposal_pct,current_3k_sample_pct
language,ara,2.73,2.73,3.0
language,ben,2.95,2.96,2.63
language,dan,2.42,2.43,2.3
language,deu,4.45,4.45,3.77
language,eng,24.29,24.29,24.8
language,fin,2.93,2.93,3.07
language,fra,4.25,4.25,4.63
language,hin,4.43,4.43,4.9
language,ind,2.99,2.99,2.8
language,ita,2.65,2.65,2.0
language,jpn,2.73,2.73,2.5
language,kor,3.01,3.01,2.8
language,mar,2.37,2.36,2.73
language,nld,4.62,4.63,4.17
language,nor,2.94,2.95,3.23
language,pol,3.14,3.13,3.17
language,por,4.72,4.73,4.7
language,rus,4.79,4.79,4.7
language,spa,5.92,5.93,6.13
language,tur,3.03,3.03,3.03
language,ukr,2.69,2.69,2.73
language,vie,2.95,2.95,2.83
language,zho,3.01,3.0,3.37
synthetic,False,17.57,17.58,17.53
synthetic,True,82.43,82.42,82.47
dataset,chirp3_1,54.12,54.03,53.57
dataset,chirp3_2,24.97,24.98,25.33
dataset,chirp3_3_short,0.29,0.37,0.23
dataset,human_5,1.3,1.31,1.33
dataset,human_convcollector_1,0.25,0.28,0.37
dataset,liva_1,11.41,11.49,11.5
dataset,midcentury_1,3.13,3.03,3.1
dataset,mundo_1,1.47,1.48,1.23
dataset,orpheus_endfiller_1,0.61,0.7,0.57
dataset,orpheus_grammar_1,0.58,0.51,0.83
dataset,orpheus_midfiller_1,0.57,0.68,0.43
dataset,rime_2,1.29,1.17,1.5
