feature,n_missing,pct_missing,pct_missing_endpoint=False,pct_missing_endpoint=True,pct_missing_synthetic=False,pct_missing_synthetic=True
f0_slope_200ms,813,27.1,21.49,32.57,41.25,24.09
pitch_reset_after_pause,734,24.47,23.45,25.46,41.06,20.94
f0_slope_300ms,689,22.97,18.65,27.17,38.59,19.64
f0_slope_500ms,592,19.73,18.92,20.53,34.98,16.49
f0_slope_1000ms,471,15.7,18.99,12.5,31.75,12.29
f0_slope_2000ms,304,10.13,11.82,8.49,23.19,7.36
breath_energy_above_floor,95,3.17,4.19,2.17,5.32,2.71
breath_flatness_max,95,3.17,4.19,2.17,5.32,2.71
pitch_range_compression,94,3.13,3.58,2.7,8.17,2.06
final_syllable_ratio,22,0.73,0.47,0.99,2.66,0.32
speaking_rate_slope,22,0.73,0.47,0.99,2.66,0.32
creaky_score,18,0.6,0.68,0.53,2.09,0.28
energy_slope_2000ms,5,0.17,0.07,0.26,0.38,0.12
energy_slope_1000ms,1,0.03,0.0,0.07,0.0,0.04
spectral_tilt_slope,1,0.03,0.0,0.07,0.0,0.04
energy_slope_relative,1,0.03,0.0,0.07,0.0,0.04
duration_s,0,0.0,0.0,0.0,0.0,0.0
last_active_t,0,0.0,0.0,0.0,0.0,0.0
trailing_silence_s,0,0.0,0.0,0.0,0.0,0.0
voiced_time_fraction,0,0.0,0.0,0.0,0.0,0.0
internal_pause_max_s,0,0.0,0.0,0.0,0.0,0.0
internal_pause_total_s,0,0.0,0.0,0.0,0.0,0.0
energy_slope_300ms,0,0.0,0.0,0.0,0.0,0.0
noise_floor_db,0,0.0,0.0,0.0,0.0,0.0
rms_mean_db,0,0.0,0.0,0.0,0.0,0.0
energy_slope_200ms,0,0.0,0.0,0.0,0.0,0.0
clipping_frac,0,0.0,0.0,0.0,0.0,0.0
energy_slope_500ms,0,0.0,0.0,0.0,0.0,0.0
