feature,n_valid,pct_missing,mean_true,mean_false,median_true,median_false,iqr_true,iqr_false,cohens_d,cliffs_delta,auc_direction_normalized,auc_ci_low,auc_ci_high,mutual_info_endpoint,corr_with_duration,auc_vs_synthetic,source_kruskal_pvalue,confound_flag
energy_slope_500ms,3000,0.0,-7.752,13.84,-7.189,9.651,25.014,43.896,-0.798,-0.414,0.707,0.686,0.726,0.1052,0.012,0.546,0.0017,False
energy_slope_relative,2999,0.03,-0.404,0.135,-0.423,0.057,0.851,1.038,-0.633,-0.376,0.688,0.669,0.705,0.0766,-0.0,0.523,0.006,False
f0_slope_1000ms,2529,15.7,-5.734,-1.34,-5.81,-1.292,7.815,8.247,-0.603,-0.372,0.686,0.667,0.704,0.0468,0.042,0.621,0.0,False
energy_slope_1000ms,2999,0.03,-3.008,3.282,-2.985,1.368,9.888,12.739,-0.56,-0.312,0.656,0.636,0.675,0.0631,0.013,0.514,0.087,False
speaking_rate_slope,2978,0.73,0.007,0.021,0.003,0.011,0.015,0.025,-0.275,-0.305,0.652,0.634,0.672,0.0304,-0.149,0.517,0.0,False
f0_slope_500ms,2408,19.73,-10.646,-3.932,-10.366,-4.317,17.096,16.105,-0.412,-0.267,0.633,0.61,0.656,0.0103,0.006,0.655,0.0,False
trailing_silence_s,3000,0.0,0.406,0.327,0.27,0.23,0.21,0.15,0.198,0.243,0.622,0.606,0.641,0.015,0.31,0.78,0.0,True
final_syllable_ratio,2978,0.73,0.988,1.417,0.918,1.096,0.445,1.052,-0.601,-0.239,0.62,0.599,0.644,0.072,0.032,0.513,0.3038,False
f0_slope_300ms,2311,22.97,-12.699,-4.834,-11.674,-5.05,21.944,21.668,-0.358,-0.219,0.61,0.585,0.632,0.0125,-0.028,0.654,0.0,False
f0_slope_2000ms,2696,10.13,-2.307,-1.313,-2.253,-1.211,3.346,3.529,-0.334,-0.212,0.606,0.584,0.628,0.0045,0.062,0.618,0.0,False
tail_low_pitch_confidence_fraction,2982,0.6,0.905,0.821,0.98,0.921,0.138,0.286,0.438,0.222,0.595,0.577,0.613,0.0175,-0.022,0.535,0.0094,False
f0_slope_200ms,2187,27.1,-12.905,-4.987,-12.558,-6.116,24.083,23.946,-0.307,-0.186,0.593,0.57,0.613,0.019,-0.025,0.66,0.0,True
internal_pause_max_s,3000,0.0,0.376,0.451,0.35,0.41,0.27,0.27,-0.266,-0.18,0.59,0.567,0.61,0.0114,0.386,0.556,0.0,False
spectral_tilt_slope,2999,0.03,-0.995,1.871,-0.552,1.371,10.23,10.193,-0.322,-0.174,0.587,0.567,0.608,0.0247,0.022,0.527,0.3596,False
breath_flatness_max,2905,3.17,0.086,0.063,0.046,0.029,0.108,0.066,0.262,0.169,0.585,0.563,0.604,0.0044,0.037,0.64,0.0,True
internal_pause_total_s,3000,0.0,1.032,1.141,0.73,0.94,1.0,1.04,-0.11,-0.135,0.567,0.546,0.587,0.0165,0.577,0.565,0.0,False
energy_slope_300ms,3000,0.0,-13.401,-2.091,-13.302,-6.66,49.09,59.417,-0.265,-0.124,0.562,0.541,0.583,0.0093,0.022,0.503,0.0082,False
energy_slope_200ms,3000,0.0,-17.723,-28.253,-21.337,-32.688,74.955,78.516,0.175,0.115,0.557,0.537,0.574,0.0066,-0.002,0.5,0.0005,False
breath_energy_above_floor,2905,3.17,8.589,8.248,8.948,8.691,1.708,2.182,0.172,0.106,0.553,0.534,0.574,0.022,0.048,0.589,0.0,False
pitch_range_compression,2906,3.13,0.753,0.705,0.749,0.703,0.461,0.517,0.14,0.089,0.544,0.521,0.564,0.023,-0.09,0.701,0.0,True
energy_slope_2000ms,2995,0.17,-0.044,-0.519,-0.413,-0.946,4.504,5.825,0.096,0.079,0.54,0.521,0.559,0.0175,-0.084,0.528,0.0055,False
pitch_reset_after_pause,2266,24.47,0.533,0.869,0.2,0.6,6.4,5.9,-0.069,-0.038,0.519,0.501,0.541,0.0115,0.071,0.527,0.1405,False
rms_mean_db,3000,0.0,-26.418,-26.462,-25.763,-26.163,4.513,4.461,0.011,0.034,0.517,0.502,0.537,0.0139,0.125,0.572,0.0,True
noise_floor_db,3000,0.0,-43.064,-43.467,-42.362,-43.131,11.913,11.793,0.048,0.033,0.516,0.501,0.538,0.0,0.045,0.533,0.0547,False
clipping_frac,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.052,-0.493,0.513,0.501,0.526,0.0,-0.009,0.573,0.0,True
last_active_t,3000,0.0,7.265,7.255,6.78,6.925,4.703,4.515,0.003,-0.008,0.504,0.5,0.525,0.0014,0.993,0.596,0.0,True
duration_s,3000,0.0,7.671,7.581,7.08,7.16,4.69,4.616,0.027,0.007,0.503,0.5,0.525,0.0012,1.0,0.62,0.0,True
voiced_time_fraction,3000,0.0,0.655,0.66,0.686,0.685,0.179,0.163,-0.038,0.007,0.503,0.5,0.524,0.0,0.065,0.672,0.0,True
