id,trailing_silence_s,duration_s,dataset
00368f4a-ab7b-4aa8-bc26-416c3558227b,2.44,3.82,midcentury_1
00417843-d72b-46a1-9b25-ac8d0f17e8c5,2.6385000000000005,13.8085,liva_1
004b0e97-3544-4931-bc08-87791397684c,2.5011874999999995,7.9411875,rime_2
004bb766-40c7-4731-b04f-94ba40ccf50d,3.302,6.912,orpheus_grammar_1
005289c0-6b35-4829-8fa2-787ebb1a1b67,2.289999999999999,16.0,liva_1
006faf6e-ec1a-4bdb-8b53-e39e6c320900,2.436562500000001,12.0465625,liva_1
0085a1b4-7b65-4363-b2f8-1406f7ded85d,2.4244999999999997,6.2345,rime_2
008a0873-1231-47a3-b42a-6ca1be591884,4.029999999999999,16.0,liva_1
00ad305d-f2a3-4af3-8c23-915bfa0dc5db,2.9231249999999998,7.883125,rime_2
00d7d5fe-4faf-447f-80cc-c51a5ca20d9a,2.4842499999999994,14.32425,liva_1
00f76b1a-1e39-490e-8b72-22d321818d6a,2.6799999999999997,16.0,liva_1
0103202d-2602-4ac6-ba93-06254ca978b8,2.8303125,14.2103125,liva_1
01045966-25da-4e46-9614-7242a7a0d69f,2.7499999999999996,5.72,chirp3_2
01091f33-a97d-4df5-97d5-8c9147f5e769,2.6999999999999993,12.68,chirp3_2
010ba6bb-f8a9-458b-97e1-6184a13b17af,2.58,13.83,liva_1
0161858b-85ee-46cb-8c3a-8e2ba60c6708,2.5276250000000005,15.137625,liva_1
016c854f-c0c1-4ec8-bd48-a6afa026e15d,2.6096249999999994,6.559625,rime_2
017caf4f-f5a5-4da8-9246-1f04d9afcbf1,2.458312500000001,6.4783125,rime_2
01ab1ed9-0d18-42dd-bf64-7a14909dab18,3.58,16.0,liva_1
01d45959-64a7-462a-81be-b24646c995f7,2.5101250000000004,5.770125,rime_2
01dd3a01-a8ba-48c7-8c8c-22d8b05ac90b,3.59,16.0,liva_1
0213d7d4-3405-4b65-b92d-ed958535dfbf,2.2799999999999994,14.16,chirp3_2
02148553-491b-4a3c-8f83-f48bbc6f3426,5.130000000000001,16.0,liva_1
023a924f-d9c0-43b0-8cd1-ae313ad72458,2.9281250000000005,7.198125,rime_2
0243f30c-6297-4cde-8b3c-42fe7d246e9c,2.5062499999999996,3.99625,human_5
0287f454-4a3d-4a00-9a10-5200bc46f0e2,4.011624999999999,15.641625,liva_1
028df1ad-8a11-4638-b703-27b03f416e7c,2.7545625000000005,12.0045625,liva_1
029d7147-cc3e-4593-b8c3-142361e55df3,2.9299999999999997,8.6,chirp3_1
029e7f7e-3fdd-404f-b6f7-d08de87f3592,2.4837499999999997,6.73375,rime_2
02a6ffb4-071c-4fe6-becf-b1dae38a3b54,2.74,16.0,liva_1
