noise_cluster,chirp3_1,chirp3_2,chirp3_3_short,human_5,human_convcollector_1,liva_1,midcentury_1,mundo_1,orpheus_endfiller_1,orpheus_grammar_1,orpheus_midfiller_1,rime_2,pct_endpoint_true,n_total
0,175,103,1,8,0,67,3,2,2,2,1,6,52.7,370
1,41,23,0,0,0,5,3,0,1,0,1,0,51.4,74
2,55,20,0,1,0,7,0,2,0,2,1,1,52.8,89
3,172,93,0,5,1,42,5,4,1,2,1,3,53.2,329
4,100,41,0,0,1,25,20,0,0,1,2,2,51.0,192
5,120,56,0,0,0,7,7,1,0,0,1,0,49.0,192
6,191,82,1,5,2,39,4,0,2,1,0,13,43.8,340
7,179,79,0,8,1,49,8,0,0,2,0,5,46.8,331
8,168,88,0,8,1,70,4,2,2,1,2,15,49.6,361
9,30,6,0,0,0,2,0,0,0,1,0,0,48.7,39
10,136,39,1,4,0,27,6,3,4,0,0,0,51.8,220
11,60,17,0,1,2,5,1,1,1,0,0,0,50.0,88
