feature,n_valid,pct_missing,mean_true,mean_false,cohens_d,cliffs_delta,auc_direction_normalized,auc_ci_low,auc_ci_high,mutual_info_endpoint,corr_with_duration,auc_vs_synthetic,source_kruskal_pvalue,confound_flag
energy_slope_500ms,15998,0.0,-7.629,13.546,-0.783,-0.401,0.7,0.692,0.709,0.0947,-0.002,0.553,0.0,False
energy_slope_relative,15991,0.04,-0.401,0.161,-0.677,-0.388,0.694,0.685,0.702,0.0647,0.016,0.523,0.0,False
f0_slope_1000ms,13619,14.87,-5.676,-1.447,-0.582,-0.36,0.68,0.67,0.688,0.0563,0.017,0.624,0.0,False
energy_slope_1000ms,15991,0.04,-2.958,3.427,-0.584,-0.321,0.66,0.652,0.669,0.0497,0.007,0.518,0.0,False
f0_slope_500ms,13061,18.36,-10.969,-3.326,-0.468,-0.298,0.649,0.64,0.658,0.0411,0.003,0.66,0.0,False
speaking_rate_slope,15893,0.66,0.006,0.02,-0.261,-0.279,0.64,0.632,0.648,0.0298,-0.15,0.51,0.0,False
f0_slope_300ms,12463,22.1,-12.384,-3.862,-0.386,-0.246,0.623,0.613,0.633,0.0222,-0.005,0.661,0.0,False
trailing_silence_s,15998,0.0,0.395,0.328,0.174,0.218,0.609,0.601,0.618,0.0274,0.292,0.797,0.0,True
f0_slope_2000ms,14542,9.1,-2.276,-1.322,-0.325,-0.215,0.607,0.599,0.617,0.0226,0.021,0.591,0.0,False
f0_slope_200ms,11729,26.68,-12.4,-3.577,-0.334,-0.213,0.606,0.595,0.617,0.037,-0.013,0.662,0.0,True
creaky_score,15932,0.41,0.901,0.821,0.42,0.247,0.602,0.593,0.611,0.0273,-0.009,0.539,0.0,False
final_syllable_ratio,15893,0.66,0.998,1.386,-0.547,-0.203,0.602,0.594,0.611,0.0581,0.036,0.507,0.0,False
internal_pause_max_s,15998,0.0,0.378,0.444,-0.24,-0.163,0.582,0.574,0.591,0.0086,0.4,0.569,0.0,False
spectral_tilt_slope,15991,0.04,-0.59,1.541,-0.237,-0.14,0.57,0.561,0.576,0.0118,0.002,0.513,0.0238,False
breath_energy_above_floor,15507,3.07,8.588,8.182,0.196,0.125,0.563,0.555,0.571,0.011,-0.003,0.583,0.0,False
energy_slope_300ms,15998,0.0,-12.603,-1.283,-0.264,-0.125,0.562,0.554,0.572,0.0323,-0.019,0.528,0.0,False
internal_pause_total_s,15998,0.0,1.017,1.136,-0.121,-0.114,0.557,0.551,0.565,0.0109,0.578,0.561,0.0,False
breath_flatness_max,15507,3.07,0.08,0.066,0.163,0.102,0.551,0.543,0.559,0.0,0.036,0.647,0.0,True
energy_slope_200ms,15998,0.0,-15.748,-25.685,0.163,0.101,0.551,0.542,0.559,0.0,-0.015,0.501,0.0,False
energy_slope_2000ms,15975,0.14,-0.078,-0.661,0.118,0.078,0.539,0.529,0.547,0.0086,-0.104,0.506,0.0,False
pitch_range_compression,15519,2.99,0.76,0.718,0.127,0.077,0.538,0.53,0.548,0.0,-0.088,0.684,0.0,True
voiced_time_fraction,15998,0.0,0.661,0.66,0.007,0.03,0.515,0.506,0.524,0.002,0.085,0.664,0.0,True
duration_s,15998,0.0,7.742,7.546,0.059,0.028,0.514,0.504,0.522,0.0021,1.0,0.623,0.0,True
clipping_frac,15998,0.0,0.0,0.0,-0.035,-0.533,0.511,0.505,0.517,0.0095,-0.082,0.574,0.0,True
last_active_t,15998,0.0,7.347,7.218,0.04,0.016,0.508,0.501,0.517,0.0034,0.994,0.597,0.0,True
pitch_reset_after_pause,12327,22.95,0.737,0.787,-0.01,-0.01,0.505,0.5,0.516,0.0055,0.087,0.528,0.0,False
rms_mean_db,15998,0.0,-26.537,-26.318,-0.056,-0.002,0.501,0.5,0.509,0.0014,0.116,0.586,0.0,True
noise_floor_db,15998,0.0,-43.333,-43.311,-0.003,-0.0,0.5,0.5,0.509,0.0001,0.019,0.516,0.0,False
