feature,auc_direction_normalized_3k,auc_direction_normalized_d2,auc_delta,confound_flag_3k,confound_flag_d2,confound_flag_changed
breath_flatness_max,0.585,0.551,-0.034,True,True,False
final_syllable_ratio,0.62,0.602,-0.018,False,False,False
spectral_tilt_slope,0.587,0.57,-0.017,False,False,False
rms_mean_db,0.517,0.501,-0.016,True,True,False
noise_floor_db,0.516,0.5,-0.016,False,False,False
f0_slope_500ms,0.633,0.649,0.016,False,False,False
pitch_reset_after_pause,0.519,0.505,-0.014,False,False,False
f0_slope_200ms,0.593,0.606,0.013,True,True,False
f0_slope_300ms,0.61,0.623,0.013,False,False,False
trailing_silence_s,0.622,0.609,-0.013,True,True,False
speaking_rate_slope,0.652,0.64,-0.012,False,False,False
voiced_time_fraction,0.503,0.515,0.012,True,True,False
duration_s,0.503,0.514,0.011,True,True,False
breath_energy_above_floor,0.553,0.563,0.01,False,False,False
internal_pause_total_s,0.567,0.557,-0.01,False,False,False
internal_pause_max_s,0.59,0.582,-0.008,False,False,False
energy_slope_500ms,0.707,0.7,-0.007,False,False,False
energy_slope_relative,0.688,0.694,0.006,False,False,False
f0_slope_1000ms,0.686,0.68,-0.006,False,False,False
energy_slope_200ms,0.557,0.551,-0.006,False,False,False
pitch_range_compression,0.544,0.538,-0.006,True,True,False
last_active_t,0.504,0.508,0.004,True,True,False
energy_slope_1000ms,0.656,0.66,0.004,False,False,False
clipping_frac,0.513,0.511,-0.002,True,True,False
f0_slope_2000ms,0.606,0.607,0.001,False,False,False
energy_slope_2000ms,0.54,0.539,-0.001,False,False,False
energy_slope_300ms,0.562,0.562,0.0,False,False,False
