flag_type,language,dataset,synthetic,endpoint_bool,endfiller,n,note
zero_support_cell,ara,chirp3_2,True,True,True,0,
zero_support_cell,ara,chirp3_2,False,True,unknown,0,
zero_support_cell,ara,chirp3_2,True,False,unknown,0,
zero_support_cell,ara,chirp3_2,True,True,unknown,0,
zero_support_cell,ara,chirp3_2,False,False,unknown,0,
zero_support_cell,ara,chirp3_2,False,True,True,0,
zero_support_cell,ara,chirp3_2,False,True,False,0,
zero_support_cell,ara,chirp3_2,False,False,False,0,
zero_support_cell,ara,chirp3_2,False,False,True,0,
zero_support_cell,ben,chirp3_2,True,True,True,0,
zero_support_cell,ben,chirp3_2,False,True,unknown,0,
zero_support_cell,ben,chirp3_2,True,False,unknown,0,
zero_support_cell,ben,chirp3_2,True,True,unknown,0,
zero_support_cell,ben,chirp3_2,False,False,unknown,0,
zero_support_cell,ben,chirp3_2,False,True,True,0,
zero_support_cell,ben,chirp3_2,False,True,False,0,
zero_support_cell,ben,chirp3_2,False,False,False,0,
zero_support_cell,ben,chirp3_2,False,False,True,0,
zero_support_cell,dan,chirp3_2,True,True,True,0,
zero_support_cell,dan,chirp3_2,False,True,unknown,0,
zero_support_cell,dan,chirp3_2,True,False,unknown,0,
zero_support_cell,dan,chirp3_2,True,True,unknown,0,
zero_support_cell,dan,chirp3_2,False,False,unknown,0,
zero_support_cell,dan,chirp3_2,False,True,True,0,
zero_support_cell,dan,chirp3_2,False,True,False,0,
zero_support_cell,dan,chirp3_2,False,False,False,0,
zero_support_cell,dan,chirp3_2,False,False,True,0,
zero_support_cell,deu,chirp3_1,True,True,True,0,
zero_support_cell,deu,chirp3_1,False,True,unknown,0,
zero_support_cell,deu,chirp3_1,True,False,unknown,0,
zero_support_cell,deu,chirp3_1,True,True,unknown,0,
zero_support_cell,deu,chirp3_1,False,False,unknown,0,
zero_support_cell,deu,chirp3_1,False,True,True,0,
zero_support_cell,deu,chirp3_1,False,True,False,0,
zero_support_cell,deu,chirp3_1,False,False,False,0,
zero_support_cell,deu,chirp3_1,False,False,True,0,
zero_support_cell,eng,chirp3_1,True,True,True,0,
zero_support_cell,eng,chirp3_1,False,True,unknown,0,
zero_support_cell,eng,chirp3_1,True,False,unknown,0,
zero_support_cell,eng,chirp3_1,True,True,unknown,0,
zero_support_cell,eng,chirp3_1,False,False,unknown,0,
zero_support_cell,eng,chirp3_1,False,True,True,0,
zero_support_cell,eng,chirp3_1,False,True,False,0,
