language,synthetic,endpoint_bool,endfiller_b,duration_bin,n
eng,False,True,unknown,10-16s,127
eng,False,False,unknown,10-16s,126
eng,False,False,unknown,2-4s,57
fra,True,True,False,6-10s,43
rus,True,True,False,6-10s,41
eng,False,True,unknown,2-4s,36
eng,False,False,unknown,6-10s,35
zho,True,True,False,6-10s,34
por,True,True,False,6-10s,34
eng,False,True,unknown,4-6s,31
eng,True,True,unknown,6-10s,31
spa,True,True,False,6-10s,31
hin,True,True,False,4-6s,30
deu,True,True,False,6-10s,29
eng,True,True,False,6-10s,29
eng,True,False,unknown,6-10s,28
hin,True,True,False,6-10s,27
fin,True,True,False,6-10s,27
spa,True,True,False,10-16s,27
por,True,False,True,6-10s,27
nld,True,True,False,6-10s,26
eng,False,True,unknown,6-10s,25
fra,True,False,True,6-10s,25
rus,True,False,True,6-10s,24
nor,True,True,False,6-10s,23
ukr,True,True,False,6-10s,23
eng,True,False,True,6-10s,23
rus,True,True,False,4-6s,23
tur,True,True,False,4-6s,21
hin,True,False,True,6-10s,21
fra,True,True,False,4-6s,21
eng,True,True,False,4-6s,21
ind,True,True,False,6-10s,21
por,True,True,False,4-6s,20
spa,True,False,True,6-10s,20
zho,True,False,True,6-10s,19
eng,True,True,False,10-16s,19
nld,True,False,True,6-10s,18
pol,True,True,False,6-10s,18
kor,True,False,True,6-10s,18
eng,False,False,unknown,4-6s,18
fin,True,False,True,6-10s,18
hin,True,False,True,4-6s,18
ara,True,True,False,6-10s,17
nor,True,True,False,4-6s,17
jpn,True,True,False,6-10s,17
deu,True,False,True,6-10s,17
dan,True,True,False,6-10s,17
ukr,True,True,False,4-6s,16
nld,True,True,False,4-6s,16
zho,True,False,True,10-16s,16
ind,True,False,True,6-10s,16
pol,True,False,True,6-10s,16
vie,True,True,False,6-10s,15
tur,True,True,False,6-10s,15
ben,True,True,False,6-10s,15
jpn,True,False,True,6-10s,15
spa,True,False,False,6-10s,15
ita,True,False,True,6-10s,15
ara,True,False,True,6-10s,15
kor,True,True,False,6-10s,15
kor,True,False,True,4-6s,15
eng,False,True,unknown,16s+,15
ara,True,True,False,10-16s,15
mar,True,True,False,4-6s,14
por,True,True,False,10-16s,14
pol,True,True,False,4-6s,14
spa,True,False,True,10-16s,14
pol,True,False,True,10-16s,14
eng,False,False,unknown,16s+,14
eng,True,True,unknown,4-6s,14
ita,True,True,False,10-16s,13
hin,True,False,False,4-6s,13
deu,True,True,False,10-16s,13
spa,True,True,False,4-6s,13
nor,True,False,True,6-10s,13
deu,True,False,False,6-10s,13
nld,True,False,False,4-6s,13
vie,True,True,False,4-6s,12
kor,True,True,False,4-6s,12
nld,True,True,False,10-16s,12
rus,True,True,False,10-16s,12
rus,True,False,False,6-10s,12
ben,True,True,False,4-6s,12
dan,True,False,True,6-10s,12
tur,True,False,True,6-10s,12
rus,True,False,True,10-16s,12
eng,True,False,unknown,4-6s,12
hin,True,True,False,2-4s,12
nld,True,False,True,4-6s,12
fin,True,True,False,4-6s,12
vie,True,False,True,6-10s,12
ind,True,True,False,4-6s,11
eng,True,False,True,4-6s,11
zho,True,True,False,10-16s,11
mar,True,True,False,6-10s,11
dan,True,True,False,4-6s,11
eng,True,False,False,6-10s,11
ita,True,True,False,6-10s,11
mar,True,True,False,2-4s,11
por,True,False,False,6-10s,11
vie,True,False,True,4-6s,11
jpn,True,True,False,10-16s,10
tur,True,True,False,2-4s,10
mar,True,False,True,6-10s,10
nld,True,True,False,2-4s,10
nld,True,False,False,6-10s,10
deu,True,False,False,4-6s,10
fra,True,False,True,4-6s,10
mar,True,False,False,2-4s,10
jpn,True,True,False,4-6s,9
fra,True,True,False,10-16s,9
ben,True,False,True,6-10s,9
ben,True,True,False,2-4s,9
spa,False,True,unknown,2-4s,9
nor,True,True,False,10-16s,9
por,True,False,True,10-16s,9
por,True,False,True,4-6s,9
eng,True,False,False,4-6s,9
jpn,True,False,True,10-16s,9
mar,True,False,True,4-6s,8
fra,True,False,False,6-10s,8
hin,True,False,False,6-10s,8
fin,True,False,False,6-10s,8
vie,True,False,False,6-10s,8
ind,True,False,True,4-6s,8
eng,True,True,unknown,2-4s,8
ukr,True,True,False,2-4s,8
mar,True,False,False,4-6s,8
deu,True,False,True,4-6s,8
pol,True,True,False,10-16s,8
spa,False,False,unknown,2-4s,8
spa,False,True,unknown,4-6s,8
ben,True,False,True,4-6s,8
dan,True,False,True,4-6s,8
nor,True,True,False,2-4s,7
tur,True,True,False,10-16s,7
dan,True,True,False,2-4s,7
spa,True,False,False,4-6s,7
spa,True,False,True,4-6s,7
nor,True,False,False,4-6s,7
nor,True,False,True,4-6s,7
nld,True,False,True,10-16s,7
ben,True,False,True,10-16s,7
fra,True,False,True,10-16s,7
fin,True,False,False,4-6s,7
eng,True,False,False,10-16s,7
eng,True,False,True,10-16s,7
ara,True,False,True,10-16s,7
ind,True,False,False,6-10s,7
pol,True,False,True,4-6s,7
zho,True,False,True,4-6s,6
ukr,True,False,False,6-10s,6
rus,True,False,True,4-6s,6
kor,True,True,False,2-4s,6
zho,True,False,False,6-10s,6
tur,True,False,True,4-6s,6
pol,True,False,False,6-10s,6
ara,True,False,False,6-10s,6
eng,True,True,False,2-4s,6
hin,True,True,False,10-16s,6
ukr,True,False,True,6-10s,6
ben,True,False,False,6-10s,6
kor,True,False,False,4-6s,6
deu,True,True,False,4-6s,6
deu,True,False,True,2-4s,6
ukr,True,True,False,10-16s,6
ara,True,False,True,4-6s,6
hin,True,False,True,2-4s,6
jpn,True,False,False,6-10s,5
fra,True,False,False,4-6s,5
vie,True,True,False,2-4s,5
ind,True,False,False,10-16s,5
vie,True,False,False,2-4s,5
ara,True,True,False,4-6s,5
spa,True,True,False,2-4s,5
spa,False,True,unknown,6-10s,5
ukr,True,False,False,4-6s,5
ita,True,False,True,10-16s,5
pol,True,False,False,4-6s,5
por,True,False,False,10-16s,5
deu,True,False,True,10-16s,5
por,True,False,False,4-6s,5
jpn,True,False,True,4-6s,5
vie,True,False,False,4-6s,5
spa,False,False,unknown,4-6s,4
vie,True,True,False,10-16s,4
ukr,True,False,True,4-6s,4
zho,True,False,False,10-16s,4
tur,True,False,True,10-16s,4
tur,True,False,False,6-10s,4
kor,True,True,False,10-16s,4
eng,True,False,True,2-4s,4
eng,False,True,unknown,0-2s,4
ind,True,True,False,10-16s,4
fra,True,True,False,2-4s,4
fra,True,False,False,2-4s,4
ita,True,True,False,4-6s,4
eng,True,False,False,0-2s,4
ind,True,False,True,10-16s,4
kor,True,False,False,6-10s,4
pol,True,True,False,2-4s,4
ukr,True,False,True,2-4s,4
rus,True,False,False,4-6s,4
tur,True,False,True,2-4s,4
spa,True,False,True,2-4s,4
tur,True,False,False,4-6s,4
ind,True,False,False,2-4s,4
fin,True,False,True,4-6s,4
fin,True,True,False,10-16s,4
ara,True,True,False,16s+,4
ara,True,True,False,2-4s,4
fin,True,False,True,10-16s,4
ben,True,False,True,2-4s,4
ben,True,False,False,4-6s,4
ind,True,True,False,2-4s,3
nor,True,False,True,10-16s,3
ara,True,False,False,10-16s,3
