language,dataset,synthetic_b,endpoint_b,endfiller_b,n
eng,liva_1,False,False,unknown,15512
eng,liva_1,False,True,unknown,15410
eng,chirp3_1,True,True,False,6467
rus,chirp3_1,True,True,False,6386
por,chirp3_1,True,True,False,6299
nld,chirp3_1,True,True,False,6243
deu,chirp3_1,True,True,False,5977
spa,chirp3_1,True,True,False,5968
hin,chirp3_1,True,True,False,5916
fra,chirp3_1,True,True,False,5691
eng,midcentury_1,False,False,unknown,4390
eng,chirp3_1,True,False,True,4359
rus,chirp3_1,True,False,True,4294
por,chirp3_1,True,False,True,4220
nld,chirp3_1,True,False,True,4203
pol,chirp3_1,True,True,False,4169
hin,chirp3_1,True,False,True,4146
tur,chirp3_1,True,True,False,4103
eng,midcentury_1,False,True,unknown,4099
deu,chirp3_1,True,False,True,4084
kor,chirp3_1,True,True,False,4076
zho,chirp3_1,True,True,False,4057
ind,chirp3_2,True,True,False,4047
spa,chirp3_1,True,False,True,4037
ben,chirp3_2,True,True,False,4009
fra,chirp3_1,True,False,True,3995
vie,chirp3_2,True,True,False,3988
fin,chirp3_2,True,True,False,3975
nor,chirp3_2,True,True,False,3956
ara,chirp3_2,True,True,False,3698
jpn,chirp3_1,True,True,False,3694
ukr,chirp3_2,True,True,False,3686
ita,chirp3_1,True,True,False,3524
dan,chirp3_2,True,True,False,3250
pol,chirp3_1,True,False,True,3166
mar,chirp3_2,True,True,False,3161
kor,chirp3_1,True,False,True,3144
tur,chirp3_1,True,False,True,3122
zho,chirp3_1,True,False,True,2996
jpn,chirp3_1,True,False,True,2857
ita,chirp3_1,True,False,True,2842
ind,chirp3_2,True,False,True,2406
ben,chirp3_2,True,False,True,2400
nor,chirp3_2,True,False,True,2399
fin,chirp3_2,True,False,True,2386
vie,chirp3_2,True,False,True,2379
eng,chirp3_1,True,False,False,2289
rus,chirp3_1,True,False,False,2286
por,chirp3_1,True,False,False,2273
ara,chirp3_2,True,False,True,2232
ukr,chirp3_2,True,False,True,2146
nld,chirp3_1,True,False,False,2072
spa,chirp3_1,True,False,False,2042
deu,chirp3_1,True,False,False,1997
spa,mundo_1,False,False,unknown,1997
spa,mundo_1,False,True,unknown,1989
dan,chirp3_2,True,False,True,1984
hin,chirp3_1,True,False,False,1944
mar,chirp3_2,True,False,True,1939
eng,rime_2,True,False,unknown,1902
fra,chirp3_1,True,False,False,1825
eng,human_5,False,True,unknown,1820
eng,human_5,False,False,unknown,1707
ind,chirp3_2,True,False,False,1636
vie,chirp3_2,True,False,False,1624
nor,chirp3_2,True,False,False,1617
eng,rime_2,True,True,unknown,1603
ben,chirp3_2,True,False,False,1597
fin,chirp3_2,True,False,False,1578
ara,chirp3_2,True,False,False,1466
ukr,chirp3_2,True,False,False,1448
dan,chirp3_2,True,False,False,1324
mar,chirp3_2,True,False,False,1315
pol,chirp3_1,True,False,False,1162
zho,chirp3_1,True,False,False,1106
tur,chirp3_1,True,False,False,988
kor,chirp3_1,True,False,False,944
eng,orpheus_endfiller_1,True,False,unknown,857
jpn,chirp3_1,True,False,False,838
ita,chirp3_1,True,False,False,826
eng,orpheus_grammar_1,True,True,unknown,811
eng,orpheus_endfiller_1,True,True,unknown,804
eng,orpheus_midfiller_1,True,False,unknown,775
eng,orpheus_midfiller_1,True,True,unknown,767
eng,orpheus_grammar_1,True,False,unknown,759
eng,human_convcollector_1,False,False,unknown,356
eng,chirp3_3_short,True,True,False,339
eng,human_convcollector_1,False,True,unknown,323
eng,chirp3_3_short,True,False,True,316
eng,chirp3_3_short,True,False,False,137
