language,n,dominant_dataset,dominant_dataset_frac,n_datasets_used,dominant_synthetic,dominant_synthetic_frac
ara,7396,chirp3_2,1.0,1,True,1.0
ben,8006,chirp3_2,1.0,1,True,1.0
dan,6558,chirp3_2,1.0,1,True,1.0
deu,12058,chirp3_1,1.0,1,True,1.0
fin,7939,chirp3_2,1.0,1,True,1.0
fra,11511,chirp3_1,1.0,1,True,1.0
hin,12006,chirp3_1,1.0,1,True,1.0
pol,8497,chirp3_1,1.0,1,True,1.0
ind,8089,chirp3_2,1.0,1,True,1.0
ita,7192,chirp3_1,1.0,1,True,1.0
jpn,7389,chirp3_1,1.0,1,True,1.0
kor,8164,chirp3_1,1.0,1,True,1.0
mar,6415,chirp3_2,1.0,1,True,1.0
nld,12518,chirp3_1,1.0,1,True,1.0
nor,7972,chirp3_2,1.0,1,True,1.0
vie,7991,chirp3_2,1.0,1,True,1.0
por,12792,chirp3_1,1.0,1,True,1.0
rus,12966,chirp3_1,1.0,1,True,1.0
tur,8213,chirp3_1,1.0,1,True,1.0
zho,8159,chirp3_1,1.0,1,True,1.0
ukr,7280,chirp3_2,1.0,1,True,1.0
spa,16033,chirp3_1,0.7514,2,True,0.7514
eng,65802,liva_1,0.4699,10,False,0.6629
