language,n_synthetic_False,n_synthetic_True,n_total,pct_real
eng,43617,22185,65802,66.29
spa,3986,12047,16033,24.86
ben,0,8006,8006,0.0
dan,0,6558,6558,0.0
deu,0,12058,12058,0.0
fin,0,7939,7939,0.0
ara,0,7396,7396,0.0
fra,0,11511,11511,0.0
hin,0,12006,12006,0.0
ita,0,7192,7192,0.0
ind,0,8089,8089,0.0
kor,0,8164,8164,0.0
mar,0,6415,6415,0.0
nld,0,12518,12518,0.0
jpn,0,7389,7389,0.0
nor,0,7972,7972,0.0
pol,0,8497,8497,0.0
por,0,12792,12792,0.0
rus,0,12966,12966,0.0
tur,0,8213,8213,0.0
ukr,0,7280,7280,0.0
vie,0,7991,7991,0.0
zho,0,8159,8159,0.0
