language,signal,candidate,n_endfiller_true,n_endfiller_false,freq_in_true_group,freq_in_false_group,lift,already_in_lexicon
ara,endfiller_trailing_word,لكن,132,304,12,0,909.09,False
ara,endfiller_trailing_word,يعني,132,304,10,0,757.58,False
ara,endfiller_trailing_word,في,132,304,5,2,5.67,False
ara,endfiller_trailing_word,لأن,132,304,5,0,378.79,False
ara,endfiller_trailing_word,بس,132,304,5,0,378.79,False
ara,endfiller_trailing_word,و,132,304,3,0,227.27,False
ara,endfiller_trailing_word,عام,132,304,2,2,2.27,False
ara,endfiller_trailing_word,a,132,304,2,0,151.52,False
ara,endfiller_trailing_word,اللقاح,132,304,1,0,75.76,False
ara,endfiller_trailing_word,الفن,132,304,1,0,75.76,False
ara,endfiller_trailing_word,الأرز,132,304,1,0,75.76,False
ara,endfiller_trailing_word,مايو,132,304,1,0,75.76,False
ara,endfiller_trailing_word,وبس,132,304,1,0,75.76,False
ara,endfiller_trailing_word,للأمريكيين,132,304,1,0,75.76,False
ara,endfiller_trailing_word,منذ,132,304,1,0,75.76,False
ara,midfiller_word_frequency,يعني,169,267,31,8,5.67,False
ara,midfiller_word_frequency,طيب,169,267,15,1,16.54,False
ara,midfiller_word_frequency,سنة,169,267,14,8,2.56,False
ara,midfiller_word_frequency,عشر,169,267,12,9,1.96,False
ara,midfiller_word_frequency,الذي,169,267,12,10,1.77,False
ara,midfiller_word_frequency,التي,169,267,11,12,1.36,False
ara,midfiller_word_frequency,القرن,169,267,10,8,1.83,False
ara,midfiller_word_frequency,بعد,169,267,10,11,1.35,False
ara,midfiller_word_frequency,أول,169,267,8,7,1.66,False
ara,midfiller_word_frequency,مع,169,267,8,9,1.31,False
ara,midfiller_word_frequency,عندما,169,267,8,4,2.8,False
ara,midfiller_word_frequency,ذلك,169,267,7,4,2.45,False
ara,midfiller_word_frequency,العالمية,169,267,7,2,4.49,False
ara,midfiller_word_frequency,لم,169,267,7,3,3.17,False
ara,midfiller_word_frequency,الشمس,169,267,7,5,1.99,False
ben,endfiller_trailing_word,কারণ,142,332,19,0,1338.03,False
ben,endfiller_trailing_word,আর,142,332,15,0,1056.34,False
ben,endfiller_trailing_word,না,142,332,13,3,10.02,False
ben,endfiller_trailing_word,মানে,142,332,11,1,24.89,False
ben,endfiller_trailing_word,তো,142,332,9,0,633.8,False
ben,endfiller_trailing_word,কিন্তু,142,332,7,0,492.96,False
ben,endfiller_trailing_word,কেননা,142,332,6,0,422.54,False
ben,endfiller_trailing_word,হয়,142,332,5,21,0.56,False
ben,endfiller_trailing_word,আচ্ছা,142,332,3,0,211.27,False
ben,endfiller_trailing_word,ইয়ে,142,332,3,0,211.27,False
ben,endfiller_trailing_word,আছে,142,332,2,2,2.3,False
ben,endfiller_trailing_word,যে,142,332,2,0,140.85,False
ben,endfiller_trailing_word,বৃহত্তম,142,332,2,1,4.53,False
ben,endfiller_trailing_word,গঠিত,142,332,2,0,140.85,False
ben,endfiller_trailing_word,হুম,142,332,2,0,140.85,False
ben,midfiller_word_frequency,মানে,165,309,51,8,10.76,False
ben,midfiller_word_frequency,তো,165,309,25,5,8.22,False
ben,midfiller_word_frequency,সালে,165,309,24,30,1.4,False
ben,midfiller_word_frequency,করা,165,309,15,20,1.3,False
ben,midfiller_word_frequency,আচ্ছা,165,309,13,2,9.66,False
ben,midfiller_word_frequency,এক,165,309,12,12,1.71,False
ben,midfiller_word_frequency,না,165,309,11,13,1.45,False
ben,midfiller_word_frequency,প্রায়,165,309,10,12,1.43,False
ben,midfiller_word_frequency,যে,165,309,9,7,2.16,False
ben,midfiller_word_frequency,তার,165,309,8,5,2.63,False
ben,midfiller_word_frequency,এটি,165,309,7,9,1.32,False
ben,midfiller_word_frequency,ইয়ে,165,309,7,3,3.66,False
ben,midfiller_word_frequency,তা,165,309,7,3,3.66,False
ben,midfiller_word_frequency,একজন,165,309,7,4,2.83,False
ben,midfiller_word_frequency,শূন্য,165,309,7,0,32.71,False
ben,midfiller_word_frequency,শতাংশ,165,309,6,2,4.46,False
dan,endfiller_trailing_word,fordi,118,270,16,0,1355.93,False
dan,endfiller_trailing_word,men,118,270,13,0,1101.69,False
dan,endfiller_trailing_word,ligesom,118,270,11,0,932.2,False
dan,endfiller_trailing_word,og,118,270,8,3,6.05,False
dan,endfiller_trailing_word,altså,118,270,7,0,593.22,False
