language,signal,candidate,freq_in_true_group,freq_in_false_group,lift
zho,endfiller_trailing_1char,。,113,284,0.69
zho,endfiller_trailing_1char,以,19,0,1079.55
zho,endfiller_trailing_1char,是,15,1,25.14
zho,endfiller_trailing_1char,为,10,0,568.18
zho,endfiller_trailing_1char,后,5,0,284.09
zho,endfiller_trailing_1char,个,5,0,284.09
zho,endfiller_trailing_1char,质,1,0,56.82
zho,endfiller_trailing_1char,该,1,0,56.82
zho,endfiller_trailing_2char,所以,19,0,1079.55
zho,endfiller_trailing_2char,是。,15,0,852.27
zho,endfiller_trailing_2char,但是,12,0,681.82
zho,endfiller_trailing_2char,因为,10,0,568.18
zho,endfiller_trailing_2char,后。,9,0,511.36
zho,endfiller_trailing_2char,以。,6,0,340.91
zho,endfiller_trailing_2char,然后,5,0,284.09
zho,endfiller_trailing_2char,那个,5,0,284.09
zho,endfiller_trailing_3char,，所以,14,0,795.45
zho,endfiller_trailing_3char,就是。,13,0,738.64
zho,endfiller_trailing_3char,，但是,10,0,568.18
zho,endfiller_trailing_3char,然后。,9,0,511.36
zho,endfiller_trailing_3char,所以。,6,0,340.91
zho,endfiller_trailing_3char,。所以,5,0,284.09
zho,endfiller_trailing_3char,。因为,5,0,284.09
zho,endfiller_trailing_3char,，因为,5,0,284.09
jpn,endfiller_trailing_1char,。,93,244,0.61
jpn,endfiller_trailing_1char,、,24,5,7.62
jpn,endfiller_trailing_1char,の,17,0,1011.9
jpn,endfiller_trailing_1char,も,13,1,20.2
jpn,endfiller_trailing_1char,で,9,1,13.98
jpn,endfiller_trailing_1char,ら,4,0,238.1
jpn,endfiller_trailing_1char,み,1,0,59.52
jpn,endfiller_trailing_1char,法,1,0,59.52
jpn,endfiller_trailing_2char,た。,18,60,0.48
jpn,endfiller_trailing_2char,る。,17,88,0.31
jpn,endfiller_trailing_2char,の。,16,1,24.86
jpn,endfiller_trailing_2char,でも,13,0,773.81
jpn,endfiller_trailing_2char,その,11,0,654.76
jpn,endfiller_trailing_2char,れで,9,0,535.71
jpn,endfiller_trailing_2char,ら。,8,0,476.19
jpn,endfiller_trailing_2char,も。,7,1,10.88
jpn,endfiller_trailing_3char,その。,10,0,595.24
jpn,endfiller_trailing_3char,それで,9,0,535.71
jpn,endfiller_trailing_3char,から。,8,0,476.19
jpn,endfiller_trailing_3char,でも。,7,0,416.67
jpn,endfiller_trailing_3char,。でも,6,0,357.14
jpn,endfiller_trailing_3char,あの。,6,0,357.14
jpn,endfiller_trailing_3char,れた。,6,18,0.53
jpn,endfiller_trailing_3char,った。,6,14,0.68
