slice,feature,description,n_true,n_false,mean_true,mean_false,mean_diff_true_minus_false,diff_ci_low,diff_ci_high,cliffs_delta,direction_consistent_with_completion_hypothesis,note
all_data,energy_slope_1000ms,energy decay (more negative = more decay),7511,7564,-2.9964,3.0811,-6.0775,-6.4325,-5.728,-0.3104,True,
all_data,f0_slope_1000ms,pitch declination (more negative = more decline),6543,6326,-5.6916,-1.3733,-4.3183,-4.5391,-4.0692,-0.3702,True,
all_data,speaking_rate_slope,speaking rate change,7446,7531,0.0066,0.0202,-0.0136,-0.0152,-0.0119,-0.28,True,
all_data,final_syllable_ratio,final lengthening (higher = more lengthening),7446,7531,1.0035,1.4007,-0.3973,-0.4199,-0.3744,-0.2152,False,
all_data,pitch_range_compression,pitch range compression (lower = more compression),7280,7348,0.7591,0.72,0.0391,0.0277,0.0491,0.071,False,
all_data,creaky_score,phonation irregularity (higher = more creak),7483,7533,0.9039,0.8189,0.085,0.0791,0.0907,0.2276,True,
all_data,spectral_tilt_slope,spectral tilt slope,7511,7564,-0.6051,1.5052,-2.1103,-2.3816,-1.8173,-0.1372,True,
real_only,energy_slope_1000ms,energy decay (more negative = more decay),1412,1398,-3.1673,0.8563,-4.0236,-4.8795,-3.2043,-0.2236,True,
real_only,f0_slope_1000ms,pitch declination (more negative = more decline),887,1094,-1.5204,-1.3078,-0.2126,-0.7697,0.3445,-0.0424,True,
real_only,speaking_rate_slope,speaking rate change,1374,1391,0.015,0.0188,-0.0038,-0.0096,0.0024,-0.1027,True,
real_only,final_syllable_ratio,final lengthening (higher = more lengthening),1374,1391,1.0689,1.2853,-0.2164,-0.2687,-0.1603,-0.1198,False,
real_only,pitch_range_compression,pitch range compression (lower = more compression),1252,1309,0.5793,0.5495,0.0298,0.0014,0.0572,0.0506,False,
real_only,creaky_score,phonation irregularity (higher = more creak),1390,1376,0.9187,0.8021,0.1166,0.1009,0.1347,0.2604,True,
real_only,spectral_tilt_slope,spectral tilt slope,1412,1398,-0.8616,2.2542,-3.1158,-3.8261,-2.3796,-0.196,True,
implicit_incomplete_ASR_verified,energy_slope_1000ms,energy decay (more negative = more decay),7511,6963,-2.9964,3.1129,-6.1093,-6.4738,-5.7307,-0.3109,True,
implicit_incomplete_ASR_verified,f0_slope_1000ms,pitch declination (more negative = more decline),6543,5876,-5.6916,-1.3966,-4.2949,-4.55,-4.0347,-0.3654,True,
implicit_incomplete_ASR_verified,speaking_rate_slope,speaking rate change,7446,6945,0.0066,0.0198,-0.0132,-0.0148,-0.0116,-0.276,True,
implicit_incomplete_ASR_verified,final_syllable_ratio,final lengthening (higher = more lengthening),7446,6945,1.0035,1.3913,-0.3879,-0.4131,-0.3671,-0.2067,False,
implicit_incomplete_ASR_verified,pitch_range_compression,pitch range compression (lower = more compression),7280,6779,0.7591,0.7319,0.0272,0.0163,0.0371,0.0512,False,
implicit_incomplete_ASR_verified,creaky_score,phonation irregularity (higher = more creak),7483,6937,0.9039,0.8216,0.0823,0.0763,0.0883,0.2336,True,
implicit_incomplete_ASR_verified,spectral_tilt_slope,spectral tilt slope,7511,6963,-0.6051,1.445,-2.0501,-2.3192,-1.7698,-0.1342,True,
implicit_incomplete_real_only,energy_slope_1000ms,energy decay (more negative = more decay),1412,1082,-3.1673,0.5989,-3.7662,-4.6773,-2.7907,-0.2143,True,
implicit_incomplete_real_only,f0_slope_1000ms,pitch declination (more negative = more decline),887,850,-1.5204,-1.5113,-0.0091,-0.5772,0.5979,-0.0248,True,
implicit_incomplete_real_only,speaking_rate_slope,speaking rate change,1374,1077,0.015,0.0197,-0.0047,-0.011,0.0025,-0.0958,True,
implicit_incomplete_real_only,final_syllable_ratio,final lengthening (higher = more lengthening),1374,1077,1.0689,1.2679,-0.199,-0.2563,-0.1354,-0.1019,False,
implicit_incomplete_real_only,pitch_range_compression,pitch range compression (lower = more compression),1252,1014,0.5793,0.5666,0.0127,-0.0161,0.0432,0.0242,False,
implicit_incomplete_real_only,creaky_score,phonation irregularity (higher = more creak),1390,1064,0.9187,0.8138,0.1049,0.0876,0.1227,0.1912,True,
implicit_incomplete_real_only,spectral_tilt_slope,spectral tilt slope,1412,1082,-0.8616,2.0388,-2.9004,-3.7263,-2.1461,-0.1846,True,
