id,duration_s,endpoint_bool,last_active_A_energy_fixed,last_active_B_energy_alt,last_active_C_silero_vad,trailing_silence_A,trailing_silence_B,trailing_silence_C,energy_slope_1000ms_A,energy_slope_1000ms_B,energy_slope_1000ms_C,dt_AB_ms,dt_AC_ms,dt_BC_ms,dfeat_AB,dfeat_AC
00006fe3-5331-4db2-b30e-65affe00cfbe,6.16,True,5.96,5.96,6.16,0.20000000000000018,0.20000000000000018,0.0,3.677330789138395,3.677330789138395,-25.461061506543523,0.0,200.00000000000017,200.00000000000017,0.0,29.138392295681918
000081dd-b6dc-420c-be34-57bd8224c18f,12.9651875,True,11.97,11.96,12.1,0.9951875000000001,1.0051875,0.8651875000000011,-5.561965300305053,-5.472264280413648,-13.835367995913684,9.999999999999787,129.999999999999,139.9999999999988,0.08970101989140478,8.273402695608631
0000abee-a101-4a2f-bdb5-aecae1187830,5.04,False,4.84,4.82,4.9,0.20000000000000018,0.21999999999999975,0.13999999999999968,9.580526179745192,10.019877023179,0.5665150804631264,19.999999999999574,60.0000000000005,80.00000000000007,0.43935084343380737,9.014011099282065
0001e47c-ff52-46ca-8368-380f2a052bed,6.0,False,5.76,5.75,5.9,0.2400000000000002,0.25,0.09999999999999964,0.9038206788086993,1.554520895263108,-11.83447905814292,9.999999999999787,140.00000000000057,150.00000000000034,0.6507002164544087,12.73829973695162
00021667-9e19-4e6b-8f5c-af600d298b73,5.509,False,5.48,5.47,5.5,0.028999999999999915,0.03900000000000059,0.009000000000000341,-6.746672398695515,-6.143655089354453,-8.943749819373965,10.000000000000675,19.999999999999574,30.00000000000025,0.6030173093410625,2.1970774206784496
00027097-da25-4c47-a43a-5c5d2ffe17d3,12.08,True,11.79,11.8,12.0,0.2900000000000009,0.27999999999999936,0.08000000000000007,-12.881999982812772,-13.101249189382365,-25.289935004801496,10.000000000001563,210.00000000000085,199.9999999999993,0.219249206569593,12.407935021988724
0002ae75-9228-4230-a2df-2040db3507f6,4.48,False,4.21,4.2,4.3,0.27000000000000046,0.28000000000000025,0.1800000000000006,0.87912670484309,1.12305808581095,-6.073474086434885,9.999999999999787,89.99999999999986,99.99999999999964,0.24393138096786005,6.952600791277975
0002e1f1-d00e-4063-816a-c42932faccb2,7.28,True,7.02,7.01,7.1,0.2600000000000007,0.27000000000000046,0.1800000000000006,-7.028141517172599,-6.466243221791731,-13.348594094544707,9.999999999999787,80.00000000000007,89.99999999999986,0.5618982953808676,6.320452577372108
0002ee44-0df6-4260-afde-5782d3d2b13c,10.1578125,False,9.47,8.52,8.6,0.6878124999999997,1.6378125000000008,1.5578125000000007,-1.532591109367468,8.633477159343446,-2.3875069071126247,950.000000000001,870.000000000001,80.00000000000007,10.166068268710914,0.8549157977451567
000309d6-6d8c-442e-962a-168c4354ee17,7.6,True,7.39,7.4,7.6,0.20999999999999996,0.1999999999999993,0.0,1.3501551677546164,-0.003946888634285007,-22.238936824720806,10.000000000000675,209.99999999999997,199.9999999999993,1.3541020563889015,23.589091992475424
