slice,context_length_s,n,cv_accuracy,cv_accuracy_std,majority_baseline,auc_direction_normalized,auc_ci_low,auc_ci_high,elapsed_s
real_all,0.5,2812,0.5512,0.0217,0.5025,0.5532,0.5309,0.5693,89.9
real_eng,0.5,2576,0.5617,0.0226,0.5023,0.5796,0.5579,0.6013,19.9
real_spa,0.5,236,0.5973,0.0455,0.5042,0.6067,0.5359,0.6717,1.8
real_all,1.0,2812,0.5487,0.0215,0.5025,0.539,0.5155,0.5596,25.9
real_eng,1.0,2576,0.538,0.021,0.5023,0.5424,0.518,0.5646,24.0
real_spa,1.0,236,0.6105,0.1146,0.5042,0.6179,0.5386,0.695,2.6
real_all,2.0,2812,0.6131,0.0196,0.5025,0.6504,0.6283,0.669,37.1
real_eng,2.0,2576,0.6192,0.0121,0.5023,0.6656,0.6444,0.6827,34.7
real_spa,2.0,236,0.5596,0.0502,0.5042,0.5713,0.5034,0.6409,4.0
real_all,4.0,2812,0.6309,0.0097,0.5025,0.6782,0.6582,0.6964,63.0
real_eng,4.0,2576,0.644,0.0089,0.5023,0.692,0.672,0.7116,58.5
real_spa,4.0,236,0.5721,0.0488,0.5042,0.5961,0.5187,0.6644,5.7
